region_id,Median_age_of_persons_Census_year_2001,Median_age_of_persons_Census_year_2006,Median_age_of_persons_Census_year_2011,Median_mortgage_repayment_monthly_Census_year_2001,Median_mortgage_repayment_monthly_Census_year_2006,Median_mortgage_repayment_monthly_Census_year_2011,Median_total_personal_income_weekly_Census_year_2001,Median_total_personal_income_weekly_Census_year_2006,Median_total_personal_income_weekly_Census_year_2011,Median_rent_weekly_Census_year_2001,Median_rent_weekly_Census_year_2006,Median_rent_weekly_Census_year_2011,Median_total_family_income_weekly_Census_year_2001,Median_total_family_income_weekly_Census_year_2006,Median_total_family_income_weekly_Census_year_2011,Average_number_of_persons_per_bedroom_Census_year_2001,Average_number_of_persons_per_bedroom_Census_year_2006,Average_number_of_persons_per_bedroom_Census_year_2011,Median_total_household_income_weekly_Census_year_2001,Median_total_household_income_weekly_Census_year_2006,Median_total_household_income_weekly_Census_year_2011,Average_household_size_Census_year_2001,Average_household_size_Census_year_2006,Average_household_size_Census_year_2011
12601,38,39,40,1500,2000,2500,517,599,693,280,305,430,1573,1862,2251,1.1,1.1,1.1,1298,1538,1894,2.8,2.9,2.9
12602,36,37,37,1408,1960,2400,474,539,646,220,260,370,1291,1543,1913,1.1,1.1,1.2,1051,1209,1502,2.6,2.5,2.6
12701,30,31,32,1249,1733,2167,384,418,487,170,200,300,1000,1148,1388,1.1,1.1,1.1,954,1111,1329,3.4,3.4,3.4
12702,33,34,36,1000,1500,1800,285,322,371,155,183,280,821,959,1081,1.2,1.2,1.2,779,895,1044,3.3,3.2,3.2
12703,31,33,33,1200,1733,2167,414,457,531,155,190,290,1027,1197,1416,1.2,1.2,1.2,919,1079,1276,3.0,2.9,3.0
12801,37,38,39,1387,2000,2470,503,594,715,230,260,370,1281,1574,1942,1.1,1.1,1.1,1055,1243,1536,2.5,2.5,2.5
12802,34,36,37,1300,1872,2397,514,597,711,235,260,370,1416,1696,2075,1.1,1.1,1.1,1258,1466,1808,3.0,2.9,2.9
19797,30,41,60,0,2411,0,844,822,518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20101,34,35,36,650,1050,1343,324,404,511,120,160,202,828,1083,1280,1.1,1.1,1.1,672,848,997,2.5,2.5,2.4
20102,38,42,44,650,975,1300,301,376,475,100,140,180,755,1008,1182,1.1,1.1,1.1,626,781,947,2.6,2.5,2.4
20103,41,44,47,520,706,997,269,320,388,90,110,150,641,771,917,1.1,1.1,1.1,516,610,727,2.4,2.3,2.3
20201,34,36,36,650,1000,1300,325,407,517,125,160,205,793,1055,1253,1.1,1.1,1.1,652,832,993,2.5,2.5,2.4
20202,39,42,44,672,992,1343,311,385,488,115,150,200,775,1029,1227,1.1,1.1,1.1,627,782,959,2.5,2.5,2.4
20203,41,43,47,520,738,888,284,350,396,69,90,110,692,898,967,1.1,1.1,1.1,567,694,767,2.5,2.5,2.4
20301,36,37,39,745,1148,1517,356,446,547,100,130,200,918,1173,1433,1.1,1.1,1.1,820,1068,1257,2.9,2.8,2.8
20302,36,37,38,715,1098,1517,327,404,514,125,160,230,865,1106,1343,1.1,1.1,1.1,701,884,1047,2.5,2.5,2.4
20303,39,41,42,800,1192,1690,352,441,555,140,180,270,868,1132,1409,1.1,1.1,1.1,710,950,1131,2.5,2.5,2.5
20401,37,40,42,661,997,1300,334,409,499,100,140,180,763,1025,1157,1.1,1.1,1.1,632,787,925,2.5,2.4,2.4
20402,39,41,43,650,950,1300,337,412,491,110,140,173,794,1041,1147,1.1,1.1,1.1,651,799,890,2.5,2.4,2.3
20403,34,37,38,747,1083,1389,384,472,558,120,160,200,842,1099,1252,1.1,1.1,1.1,724,930,1009,2.6,2.5,2.4
20501,36,38,40,653,1024,1387,337,410,511,105,140,200,823,1103,1273,1.1,1.1,1.1,695,895,1023,2.6,2.6,2.5
20502,41,44,46,628,867,1296,286,359,437,100,135,180,658,867,989,1.1,1.1,1.1,538,685,798,2.4,2.3,2.3
20503,41,44,44,650,988,1300,295,371,485,100,140,210,701,944,1107,1.1,1.1,1.1,563,713,902,2.4,2.3,2.3
20504,35,37,38,542,867,1200,296,376,465,92,120,160,790,1053,1236,1.1,1.1,1.1,631,785,941,2.5,2.4,2.4
20505,37,39,40,607,867,1213,313,385,475,100,125,170,780,1026,1171,1.1,1.1,1.1,637,777,907,2.6,2.4,2.4
20601,34,34,34,1000,1450,2000,362,467,625,160,205,325,957,1232,1689,1.2,1.1,1.2,784,1040,1363,2.4,2.4,2.4
20602,35,36,36,1068,1517,2000,403,513,693,150,200,301,1045,1341,1880,1.1,1.1,1.1,799,1056,1425,2.3,2.3,2.4
20603,35,36,36,1083,1520,2167,444,546,703,145,180,290,1179,1504,2025,1.1,1.1,1.1,874,1107,1446,2.4,2.4,2.4
20604,30,30,30,1300,1733,2167,486,601,749,235,295,400,1265,1583,1962,1.2,1.2,1.2,916,1088,1356,2.0,1.9,2.0
20605,34,35,35,1300,1733,2200,587,762,978,200,250,365,1395,1856,2372,1.1,1.1,1.2,969,1227,1665,1.9,1.9,2.0
20606,34,35,35,1350,1950,2405,622,763,962,201,250,361,1612,1988,2447,1.1,1.1,1.1,1070,1276,1692,2.0,2.0,2.0
20607,32,33,34,1265,1733,2284,502,642,849,200,254,370,1244,1639,2195,1.1,1.1,1.2,971,1223,1671,2.1,2.2,2.2
20701,37,37,38,1300,1842,2400,519,631,763,210,250,361,1593,2007,2505,1.1,1.1,1.1,1164,1460,1886,2.6,2.6,2.6
20702,39,41,42,1100,1517,2000,415,467,545,210,250,360,1167,1338,1609,1.1,1.1,1.1,1044,1183,1384,2.9,2.8,2.7
20703,37,38,38,1022,1500,2000,404,467,540,180,221,325,1113,1354,1702,1.1,1.1,1.1,903,1100,1291,2.5,2.5,2.6
