region_id,2011_Census_85_years_and_over_Speaks_other_language_and_speaks_English_Total,2011_Census_85_years_and_over_Language_and_proficiency_in_English_not_stated,2011_Census_85_years_and_over_Total,2011_Census_Total_Speaks_English_only,2011_Census_Total_Speaks_other_language_and_speaks_English_Very_well_or_well,2011_Census_Total_Speaks_other_language_and_speaks_English_Not_well_or_not_at_all,2011_Census_Total_Speaks_other_language_and_speaks_English_Proficiency_in_English_not_stated,2011_Census_Total_Speaks_other_language_and_speaks_English_Total,2011_Census_Total_Language_and_proficiency_in_English_not_stated,2011_Census_Total_Total
31001,166,204,886,38309,14675,5027,272,19974,5207,63490
31002,29,49,808,51731,1193,232,54,1479,3036,56246
31003,61,128,1423,85438,3883,700,83,4666,3822,93926
31004,53,15,249,51720,9405,1844,166,11415,2540,65675
31101,7,21,271,11375,233,39,3,275,569,12219
31102,33,35,432,31920,2626,503,59,3188,2169,37277
31103,83,31,540,58427,8890,1772,143,10805,2823,72055
31104,16,6,154,33723,1532,271,17,1820,1178,36721
31105,79,155,648,46405,5036,691,83,5810,2236,54451
31106,86,103,710,56109,11602,2924,220,14746,3877,74732
31201,7,19,284,37500,1638,280,24,1942,8842,48284
31202,72,114,1306,100619,4836,486,92,5414,4645,110678
31203,16,10,178,18717,935,111,11,1057,2060,21834
31301,28,66,850,27852,902,136,27,1065,1307,30224
31302,34,177,864,51825,2526,495,39,3060,3583,58468
31303,8,0,132,9630,324,100,15,439,1008,11077
31304,21,69,575,52588,2583,284,36,2903,2223,57714
31305,77,110,1584,49706,3106,347,58,3511,2414,55631
31401,49,24,570,73782,3616,338,50,4004,1452,79238
31402,31,89,696,45467,3505,321,57,3883,1373,50723
31403,38,17,389,31493,2203,254,47,2504,877,34874
31501,49,6,139,18135,9845,1920,114,11879,3073,33087
31502,13,26,168,32156,2069,188,24,2281,4996,39433
31503,0,21,274,21645,498,136,3,637,1158,23440
31601,50,50,1237,41793,1902,141,29,2072,872,44737
31602,83,238,2066,65315,2607,227,32,2866,2396,70577
31603,60,89,1230,50522,2348,260,43,2651,2779,55952
31604,56,151,1103,52580,2164,173,43,2380,2214,57174
31605,62,61,1057,35328,1769,134,33,1936,1658,38922
31606,48,95,696,41985,1430,119,25,1574,1863,45422
31701,72,447,2736,125157,6464,1372,158,7994,5600,138751
31801,189,60,914,40237,2350,452,38,2840,1856,44933
31802,124,289,1981,154996,9807,1194,169,11170,10658,176824
31901,73,233,1802,77967,2841,528,51,3420,3657,85044
31902,18,131,892,44114,1077,255,34,1366,1961,47441
31903,17,218,801,42225,1086,140,27,1253,2192,45670
31904,54,187,1259,49730,2097,161,22,2280,1896,53906
