region_id,2011_Census_Other_tenure_type_Dwelling_structure_Flat_unit_or_apartment,2011_Census_Other_tenure_type_Dwelling_structure_Other_dwelling,2011_Census_Other_tenure_type_Dwelling_structure_Not_stated,2011_Census_Other_tenure_type_Total,2011_Census_Tenure_type_not_stated_Dwelling_structure_Separate_house,2011_Census_Tenure_type_not_stated_Dwelling_structure_Semi_detached_row_or_terrace_house_townhouse_etc,2011_Census_Tenure_type_not_stated_Dwelling_structure_Flat_unit_or_apartment,2011_Census_Tenure_type_not_stated_Dwelling_structure_Other_dwelling,2011_Census_Tenure_type_not_stated_Dwelling_structure_Not_stated,2011_Census_Tenure_type_not_stated_Total,2011_Census_Total_Dwelling_structure_Separate_house,2011_Census_Total_Dwelling_structure_Semi_detached_row_or_terrace_house_townhouse_etc,2011_Census_Total_Dwelling_structure_Flat_unit_or_apartment,2011_Census_Total_Dwelling_structure_Other_dwelling,2011_Census_Total_Dwelling_structure_Not_stated,2011_Census_Total_Total
10803,0,0,0,0,3,0,3,0,0,6,122,0,21,4,0,147
10804,87,63,0,544,919,215,378,109,5,1626,22578,3445,3300,1115,24,30462
10805,23,7,0,158,882,66,150,48,0,1146,18055,1149,1361,409,23,20997
10901,11,3,0,196,930,88,321,26,3,1368,18448,1153,3313,172,23,23109
10902,0,4,3,48,305,4,33,79,0,421,4524,57,218,341,10,5150
10903,20,14,0,202,848,55,111,75,0,1089,14762,517,1078,484,38,16879
11001,5,8,0,139,590,43,164,64,3,864,11734,583,1219,221,13,13770
11002,4,8,0,188,716,14,61,32,0,823,14041,249,676,326,18,15310
11003,6,6,0,113,631,46,113,67,3,860,8601,206,882,376,21,10086
11004,6,8,3,269,1291,144,227,155,5,1822,26510,1160,2037,426,54,30187
11101,66,3,0,326,1403,253,222,58,0,1936,37954,4003,2879,414,18,45268
11102,118,3,0,298,842,69,99,77,0,1087,23542,1245,1002,426,15,26230
11103,102,3,0,443,2084,498,907,82,8,3579,46858,7475,8953,312,91,63689
11201,128,19,0,347,1092,225,286,574,3,2180,22601,3503,3099,1811,38,31052
11202,39,7,0,232,1045,108,136,98,0,1387,23803,1212,1787,634,21,27457
11203,65,22,3,371,1107,435,456,188,7,2193,22703,6875,4619,1626,58,35881
11301,6,4,0,136,1018,74,185,73,0,1350,15285,783,1126,291,13,17498
11302,6,0,0,52,261,12,26,32,18,349,5256,83,314,96,18,5767
11303,62,7,3,307,1235,84,231,57,7,1614,29598,1126,2764,363,47,33898
11401,42,11,7,350,1835,176,169,112,6,2298,33192,1970,1623,824,59,37668
11402,22,4,0,167,701,83,28,20,3,835,15626,1244,318,135,20,17343
11501,140,0,9,614,814,216,171,0,0,1201,34988,5481,2140,6,34,42649
11502,12,3,3,123,285,11,20,9,0,325,7566,311,239,147,12,8275
11503,3,3,0,55,528,5,3,12,0,548,7808,32,50,105,12,8007
11504,0,3,0,30,286,28,23,11,0,348,7834,253,108,84,3,8282
11601,26,0,0,234,1541,278,289,5,4,2117,34630,4759,3006,67,60,42522
11602,0,0,0,87,615,110,13,44,0,782,19565,2841,248,337,7,22998
11603,9,0,0,186,1434,242,221,3,0,1900,25961,3726,2013,24,3,31727
11701,39,0,0,84,320,128,599,8,0,1055,5785,2153,6833,78,34,14883
11702,23,3,0,93,451,406,727,43,0,1627,7466,5529,7384,294,34,20707
11703,296,0,21,453,325,1752,9059,549,67,11752,3721,18528,63770,841,585,87445
11801,244,0,0,344,856,1029,4442,68,5,6400,10714,11082,31122,287,119,53324
11802,176,3,3,303,871,494,2905,30,4,4304,15153,7782,28062,230,64,51291
11901,92,7,0,358,1975,593,969,38,5,3580,35115,8853,8316,232,35,52551
11902,88,0,0,252,1400,376,1578,62,7,3423,22819,4546,14814,250,169,42598
11903,89,0,3,298,993,279,906,18,3,2199,24357,4885,12695,188,32,42157
